2200,MOUNTING FRAME 1G MK
LC1D40008E7,CONTACTOR  60A  48V 2N/O+2N/C  TELEMECANIQUE
LC1D40AB7,CONTACTOR  40A 24VAC 1N/O+1N/C  TELEMECANIQUE
LC1D40AF7,CONTACTOR  40A 110V 1N/O+1N/C  TELEMECANIQUE
LC1D40AP7,CONTACTOR  40A 230V 1N/O+1N/C  TELEMECANIQUE
LC1D50AB7,CONTACTOR  50A  24VAC 1N/O +  1 N/C TELEMECANIQUE
LC1D50AF7,CONTACTOR  50A 110V 1N/O+1N/C  TELEMECANIQUE
LC1D50AP7,CONTACTOR  50A 230V 1N/O+1N/C  TELEMECANIQUE
LC1D50AV7,CONTACTOR  50A 400V TELEMECANIQUE
LC1D65AB7,CONTACTOR  65A  24VAC  TELEMECANIQUE
LC1D65AF7,CONTACTOR  65A 110V TELEMECANI  QUE
LC1D65AP7,CONTACTOR  65A 230V TELEMECANI  QUE
LC1D80B7,CONTACTOR  80A  24V 1N/O+1N/C  TELEMECANIQUE
LC1D80F7,CONTACTOR  80A 110V 1N/O+1N/C  TELEMECANIQUE
LC1D80P7,CONTACTOR  80A 220V 1N/O+1N/C  TELEMECANIQUE
LC1D80V7,CONTACTOR  80A 400V 1N/O+1N/C  TELEMECANIQUE
LC1D95P7,CONTACTOR  95A 220V 1N/O+N/C  TELEMECANIQUE
LC1K0610P7,230V MINI CONTACTOR
LC1K0910P7,TELEMECANIQUE 9A 220V MINI CON  TACTOR
LC1K1210B7,SCHNEIDER CONTACTOR 3P 12A 1 N  O AUX 24VAC COIL
LC1K1210P7,TELEMECANIQUE 220V 12A MINI  CONTACTOR
LC1SK0600F7,CONTACTOR  12A 110V 2N/O AC1  TELEMECANIQUE
LE1D09P7,DOL STARTER ENCLOSED IP55  9A  230V TELEMECANIQUE
LE1D09V7,DOL STARTER ENCLOSED IP55  9A  400V TELEMECANIQUE
LE1D12P7,DOL STARTER ENCLOSED IP55 12A  230V TELEMECANIQUE
LE1D12V7,DOL STARTER ENCLOSED IP55 12A  400V TELEMECANIQUE
LE1D18P7,DOL STARTER ENCLOSED IP55 18A  230V TELEMECANIQUE
LE1D18V7,DOL STARTER ENCLOSED IP55 18A  400V TELEMECANIQUE
LE1D25P7,DOL STARTER ENCLOSED IP55 25A  230V TELEMECANIQUE
LE1D25V7,DOL STARTER ENCLOSED IP55 25A  400V TELEMECANIQUE
LE1D35V7,DOL STARTER ENCLOSED IP55 35A  400V TELEMECANIQUE
LP1K0910BD,SCHNEIDER CONTACTOR 3P  9A 1 N  O AUX 24VDC COIL
LRD04,OVERLOAD  0.4-0.63a D09-D38  TELEMECANIQUE
LRD05,OVERLOAD  0.63-1a D09-D38  TELEMECANIQUE
LRD06,OVERLOAD  1-1.7a D09-D38  TELEMECANIQUE
LRD07,OVERLOAD  1.6-2.5a D09-D38  TELEMECANIQUE
LRD08,OVERLOAD  2.5-4a D09-D38  TELEMECANIQUE
LRD10,OVERLOAD  4-6a D09-D38  TELEMECANIQUE
LRD12,OVERLOAD  5.5-8a D09-D38  TELEMECANIQUE
LRD14,OVERLOAD  7-10a D09-D38  TELEMECANIQUE
LRD16,OVERLOAD  9-13a D09-D38  TELEMECANIQUE
LRD21,OVERLOAD 12-18a D09-D38  TELEMECANIQUE
LRD22,OVERLOAD 17-25a D09-D38  TELEMECANIQUE
LRD32,OVERLOAD 23-32A D09-D38  TELEMECANIQUE
LRD3355,OVERLOAD 30-40a D40-D95  TELEMECANIQUE
LRD3363,OVERLOAD 63-80a D65-D95  TELEMECANIQUE
LRD340,OVERLOAD 30-40A TELEMECANIQUE  FOR LC1D40-95
LRD35,OVERLOAD 30-38a  TELEMECANIQUE
LRD350,OVERLOAD 37-50A TELEMECANIQUE
LRD365,OVERLOAD 48-65A TELEMECANIQUE
LXD1B7,COIL  24V 50/60hz D09-38a  TELEMECANIQUE
LXD1E7,COIL  48V 50/60hz D09-38a  TELEMECANIQUE
LXD1F7,COIL 110V 50-60hz D09-38a  TELEMECANIQUE
LXD1P7,COIL 230V 50-60hz D09-38a  TELEMECANIQUE
LXD1V7,COIL 400V 50-60hz D09-38a  TELEMECANIQUE
LXD3B7,COIL  24V AC 50/60HZ FOR  LC1D40A-50A-65A CONTACTORS
MHV10025,HOOD TOP ENTRY 2 LEVER
SZ1RV1202,POT FOR TELEMECANIQUE DRIVE  2.2K 5W
TLW5MC1,OMRON PROX SWITCH NPN C\W 2MTR  LEAD
VCF0,ISOLATOR COMPLETE 3P  25A  PANEL MOUNTED
VCF1,ISOLATOR COMPLETE 3P  32A  PANEL MOUNTED
VCF2,ISOLATOR COMPLETE 3P  40A  PANEL MOUNTED
VCF3,ISOLATOR COMPLETE 3P  63A  PANEL MOUNTED
VCF4,ISOLATOR COMPLETE 3P  80A  PANEL MOUNTED
VCF5,ISOLATOR COMPLETE 3P 125A  PANEL MOUNTED
VZ0,CONTACT BLOCK BODY 25A FOR VC
VZ1,CONTACT BLOCK BODY 32A FOR VC
VZ17,EXTENSION SHAFT FOR VC ISOLATE  R
VZ18,EXTENSION SHAFT FOR VC ISOLATE  R
VZ20,AUXILIARY CONTACT FOR VC
VZ3,VCF 63A CONTACT BLOCK
XAL D01,CONTROL STATION 1 WAY TELEMECA  NIQUE
XAL D02,CONTROL STATION 2 WAY TELEMECA  NIQUE
XAL D03,CONTROL STATION 3 WAY TELEMECA  NIQUE
XAL D04,CONTROL STATION 4 WAY TELEMECA  NIQUE
XAL D05,CONTROL STATION 5 WAY PLASTIC  EMPTY
XPE M510,FOOT SWITCH  METAL IP66 C/W F/T GUARD
XPE M711,FOOT SWITCH
ZB4 BA4,PUSHBUTTON RED FLUSH
ZB4 BC4,EMERGENCY STOP BUTTON PANEL MO  UNTED NON LOCKING
ZB4 BD3,ROTARY SWITCH 3 POSITION
ZB4 BW7A3741,PUSHBUTTON DOUBLE ILLUMINATED  PANEL MOUNTED TELEMECANIQUE
ZB4 BZ101,N/O PANEL MOUNTED CONTACT
ZB4 BZ102,N/C PANEL MOUNTED CONTACT
ZB5 SZ3,BLANK FOR XAC PENDENT
ZB5AG2,ON OFF BOX MOUNTED KEY SWITCH  FOR XALD0
ZB5AG3,ON OFF ON BOX MOUNTED KEY SWIT  FOR XALD0
ZB5AG4,2 POS KEY SWITCH XAL MOUNTED  KEY REMOVABLE IN ON/OFF
ZENL1111,CONTACT N/O BOX MOUNTED FOR  XALD ENCLOSURES
ZENL1121,CONTACT N/C BOX MOUNTED FOR  XALD ENCLOSURE
GV2ME02,MANUAL STARTER  0.16-0.25a  TELEMECANIQUE
LC1D40AV7,CONTACTOR  40A 400V TELEMECANI  QUE
LC1D65AV7,CONTACTOR  65A 380V TELEMECANI  QUE
LRD02,OVERLOAD  0.16-0.25A D09-D38  TELEMECANIQUE
LRD3322,OVERLOAD 17-25a D40-D95  TELEMECANIQUE
GC4002M5,TELEMECANIQUE MODULER CONTACTO  R 40a 2 N/C
K2D002ULH,TELEMECANIQUE CAM SWITCH PANEL  MOUNTED
KZ18045,LEGEND PLATE FOR CAM SWITCH
LADR4,TIME DELAY BLOCK 10-180s 1NO+1  NC TELEMECANIQUE OFF DELAY
LC1D95V7,CONTACTOR  95A 400V 1N/O+1N/C  TELEMECANIQUE
LRD03,OVERLOAD  0.25-0.4a D09-D38  TELEMECANIQUE
LRD325,OVERLOAD 17-25A  TELEMECANIQUE
LXD1CC7,COIL  36V 50/60HZ D09-38A  LXD1CC7
ZB2 BY9330,LEGEND PLATE EMERGANCY STOP
LA9D11502,MECHANICAL INTERLOCK FOR LC1D1  15 TELEMECANIQUE  LA9D11502
TWDLCAA24DRF,TELEMECANIQUE PLC
EKEY01,ROLLER DOOR KEY SWITCH
LC1K0910B7,TELEMECANIQUE 9A 24V MIN CONTACTOR
TLW5MC15M,OMRON PROX SWITCH NPN C\W 5MTR LEAD
ZB5AW333,ILLUMINATED PUSHBUTTON GREEN FOR XAL BOX
A9C20884,CONTACTOR MODULAR 4P 100A N/O SCHNEIDER
LC1D128E7,CONTACTOR 25A 4P 2NO 2 NC 48V 50/60HZ SCHNEIDER
LA9D4002,MECHANICAL INTERLOCK FOR LC1D40-65 AMP CONTACTORS
800F-XO1,CONTACT N/C Allen Bradley
VZ4,VCF 80A CONTACT BLOCK
LC1K1210V7,SCHNEIDER CONTACTOR 3P 12A 1 N  O AUX 400VAC COIL
LA1K-N11,AUX CONTACT BLOCK MINI 2 N/C
XAPD2203,CONTROL STAION 3 WAY METAL SCHNEIDER
LC1D18E7,CONTACTROR SCHNEIDER 18A 48VAC
LC1D188F7,CONTACTOR RELAY 18a 110V 2N/O 2N/C SCHNEIDER
ZB5AW353,ILLUMINATED PUSHBUTTON AMBER FOR XAL BOX
A9A26924,SCHNEIDER - AUXILLARY CONTACT -1 C/O -AC/DC
XVBC34,SCHNEIDER BEACON RED INCANDESCENT/LED STEADY LIGHT EFFECT 250V
26970,SCHNEIDER 2 PACK MCB / RCD PADLOCK ATTACHMENT
ZB5AG212,Selector switch head Ø22 2-position stay put Ronis 421E
DL1BDG1,SCHNEIDER WHITE LED BA15D 120VAC
XVBC2B3,SCHNEIDER ILLUMINATED GREEN LENS W- INTEGRATED LED
XVBC6B4,SCHNEIDER 70 mm illuminated unit - flashing - red - IP65 - 24 V
ATV930D18N4,"SCHNEIDER variable speed drive - ATV930 - 18,5kW - 400/480V - with braking unit - IP21"
XS618B1PAM12,SCHNEIDER Inductive sensor XS6 M18 - L74mm - brass - Sn8mm - 12..48VDC - M12
XX512A1KAM8,SCHNEIDER 12MM ULTRASONIC SENSOR
XCSE5311,SCHNEIDER Metal safety switch XCSE - 1NC+2NO - slow break - 2 entries tapped Pg 13- 24V
A9F84202,IC60H - miniature circuit breaker - 2P - 2A - C curve
A9F84106,IC60H - miniature circuit breaker - 1P - 6A - C curve
A9F85316,SCHNEIDER IC60H - miniature circuit breaker - 3P - 16A - D curve
A9F85310,SCHNEIDER IC60H - miniature circuit breaker - 3P - 10A - D curve
XCKP2118P16,LIMIT SWITCH XCKP ROLLER LEVER 1NC+1NO SNAP M16
AZ16ZCK,LIMIT SWITCH KEY SWITCH TYPE  BASE MOUNTS IN PANEL KEY IN DO
RE13SA03,SICK SENSOR MAGNETIC SAFETY  SWITCH
XCKP2102G11,LIMIT SWITCH PLUNGER TYPE
XCKP2110G11,LIMIT SWITCH PLUNGER TYPE
XCKP2118G11,LIMIT SWITCH C/W DELRIN ROLLER  LEVER
XCKP2121G11,LIMIT SWITCH ROLLER HEAD
XCKP2121P16,LIMIT SWITCH TELEMECANIQUE
XCKP2145G11,LIMIT SWITCH TELEMECANIQUE
XE2SP2151,CONTACT FOR ZCK LIMIT SWITCH  1 N/O 1 N/C
XE2SP4151,CONTACT FOR ZCK LIMIT SWITCH  1 N/O 1 N/C
XML A300D2S11,PRESSURE SWITCH  PISTON TYPE
XPE A110,PLASTIC FOOT SWITCH 1 no 1 nc
XPE M110,METAL FOOT SWITCH 1 no 1 nc
XS118BLPAM12,PROXIMITY SWITCH M18 NO
XS1N18PA349,IND PROXIMITY SENSOR PNP M18  10-24VDC 2M CABLE
XS512B1MAL2,PROXIMITY SWITCH 12mm 12-24-24  0V AC/DC TELEMECANIQUE
XS612B1MAL2,IND PROXIMITY SWITCH 12mm N\O  20-240V AC\DC SCHNEIDER
XS618B1MAL2,IND PROXIMITY SWITCH 18mm N\O  20-240V AC\DC
XS630B1MAL2,IND PROXIMITY SWITCH 30mm  20-220V AC\DC 1 N/O
XS7C40NC440H29,PROXIMITY SWITCH TELEMECANIQUE
XY2CD01,LIMIT SWITCH HEAD
ZBY 6101,BLANK LEGEND WITHOUT TEXT
ZCE01,LIMIT SWITCH RTATIVE HEAD SCHN  EIDER
ZCE06,LIMIT SWITCH HEAD CATS WHISKER  SCHEINDER
ZCK D02,LIMIT SWITCH HEAD ROLLER  PLUNGER
ZCK D05,LIMIT SWITCH HEAD
ZCK D06,LIMIT SWITCH HEAD CATS WHISKER
ZCK D08,LIMIT SWITCH HEAD SPRING ROD  LEVER
ZCK D15,LIMIT SWITCH HEAD DELRIN ROLLE  R LEVER
ZCK D21,LIMIT SWITCH HEAD DELRIN ROLLE  R LEVER PLUNGER
ZCK E05,LIMIT SWITCH HEAD RIGHT ANGLE
ZCK E06,LIMIT SWITCH HEAD
ZCK E08,LIMIT SWITCH HEAD SPRING ROD  LEVER
ZCK E09,LIMIT SWITCH HEAD  ACTUATION L+R. STAY PUT
ZCK E21,LIMIT SWITCH HEAD DELRIN  ROLLER LEVER PLUNGER
ZCK E61,LIMIT SWITCH HEAD STEEL PLUNGE  R
ZCK E62,LIMIT SWITCH HEAD END ROLLER  PLUNGER
ZCK E67,LIMIT SWITCH HEAD STEEL ROLLER  PLUNGER
ZCK J1H29,LIMIT SWITCH BODY 1 C/O  METAL BODY
ZCK M1H29,LIMIT SWITCH BODY C/O SNAP  ACTION METAL BODY
ZCK Y11,LIMIT SWITCH ACCESSORY  Operating lever  roller
ZCK Y13,LIMIT SWITCH ACCESSORY  Operating lever  metal rol
ZCK Y31,LIMIT SWITCH ACCESSORY
ZCK Y41,LIMIT SWITCH ACCESSORY  Operating lever  roller  adj
ZCK Y59,LIMIT SWITCH NYLON ROD LEVER
ZCMD29,LIMIT SWITCH BODY 2 N/C  SNAP ACTION QUICK CONNECT
ZCP21,LIMIT SWITCH PASTIC BODY 1NO  1NC SCHNEIDER
ZCY18,LIMIT SWITCH THERMOPLAST ROLLE  R LEVER
ZCK Y71,LIMIT SWITCH ACCESSORY  SINGLE TRACK DELRIN ROLLER LEV
XCKJ10511H29,LIMIT SWITCH COMPLETE WITH ROL  LER HEAD
XCPR2121G13,LIMIT SWITCH WITH ROLLER SCHNE  IDER
TM2DRA8RT,EXTENSION MODULE FOR TWDLCAA24  DRF PLC
XS118BLPBM12,PROXIMITY SWITCH M12 12-24VDC
16PVCPVCBLUE,PVC PVC BLUE 16mm 6181B LSF 500M WOODEN DRUM LSZH
16PVCPVCBROWN,PVC PVC BROWN 16mm 6181B LSF 500M WOODEN DRUM LSZH
25PVCPVCBLUE,PVC PVC CABLE BLUE WHITE 6181 B25BU LSF LSZH 500 drum
25PVCPVCBROWN,PVC PVC CABLE BROWN WHITE 6181 B25BR LSF LSZH 500 drum
35PVCPVCBLUE,PVC PVC CABLE BLUE GREY  35SQ
35PVCPVCBROWN,PVC PVC CABLE BROWN GREY  35SQ
N10TE,TWIN & EARTH 10mm BLUE BROWN & 10mm INSULATED EARTH LSF LSZH 6391b
N15EPVCPVC,1.5mm PVC PVC BROWN & 1.5mm INSULATED EARTH LSF LSZH 6192b
N15EPVCPVCBLUE,1.5mm PVC PVC BLUE & 1.5mm INSULATED EARTH LSF LSZH 6192b
N15PVCPVCBLUE,PVC PVC SINGLE LSF 1.5mm 6181B BLUE 100M COIL LSZH
N15PVCPVCBROWN,PVC PVC SINGLE LSF 1.5mm 6181B BROWN 100M COIL LSZH
N15TB,TWIN BROWN & 1.5MM INSUALTED EARTH 100mtr COIL LSF LSZH 6391b
N15TE,TWIN & EARTH BLUE BROWN & 1.5m m INSULATED EARTH LSF LSZH 6391b
N16TE,TWIN & EARTH BLUE BROWN & 16mm INSULATED EARTH LSF LSZH 6391b
N25TE,TWIN & EARTH BLUE BROWN & 2.5m m INSULATED EARTH LSF LSZH 6391b
N6TE1,TWIN & EARTH BLUE BROWN & 6mm INSULTED EARTH LSF 100m LSZH 6391b
N6TE5,TWIN & EARTH BLUE BROWN & 6mm INSULATED EARTH LSF 50m LSZH 6391b
O10TE,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 10MM PVC 100M COIL
O15EPVCPVCBROWN,PVC PVC BROWN & GREEN YELLOW  6241Y 1.5mm 100M COIL
O15PVCPVCBLUE,PVC PVC SINGLE 1.5mm 6181Y  BLUE 100M COIL
O15PVCPVCBROWN,PVC PVC SINGLE 1.5mm 6181Y  BROWN 100M COIL
O15TB,TWIN & EARTH BROWN BROWN GREEN  /YELLOW 1.5MM PVC 100M COIL
O15TE,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 1.5MM PVC 100M COIL
O16TE,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 16MM PVC 100M COIL
O25TE,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 2.5MM PVC 100M COIL
O6TE100,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 6MM 100M COIL
O6TE50,TWIN & EARTH BLUE BROWN GREEN/  YELLOW 6MM PVC 50M COIL
10PTP,TELEPHONE CABLE 10PAIR 0X0.5mm  POLY POLY
200151,FIBRE OPTIC CABLE 8C OM3  INT/EXT L/T
2PT,TELEPHONE CABLE  2 PAIR  CBBR910016
4AC,ALARM CABLE 4 CORE WHITE  CB1147416
4ACB,ALARM CABLE 4 CORE BROWN
4PT,TELEPHONE CABLE  4 PAIR
5PTP,TELEPHONE CABLE  5 PAIR x0.5mm  POLY POLY
6AC,ALARM CABLE 6 CORE WHITE  631whb
6ACB,ALARM CABLE 6 CORE BROWN
85BW,BELL WIRE .85mm 218XA LSF
8AC,ALARM CABLE 8 CORE  CB1463716
CH2852,EOLAS 6 WAY POWER BANK  FOR COMMS CABINET
RG59,CO-AXIAL CABLE 100MTR COIL  RG59BU BLACK 75OHM CB1314871
RG592C,CO AXIAL CABLE RG59 + 2 CORE  FLEX CABLE CB1461416
RG6TWIN,CO AXIAL CABLE RG6 TWIN LSF
RG6TWIN250,CO AXIAL CABLE RG6 TWIN 250MTR  DRUM
SAT100,CO-AXIAL SAT CABLE RG6U BLACK  PVC 100 coils
SF,SPEAKER FLEX WHITE 13 STRAND 00218g LSF
SF79,SPEAKER CABLE 79 STRAND 0.2mm  GREY
SGT100B,CO-AXIAL SAT CABLE MINI  SHOTGUN
3PT,TELEPHONE CABLE  3 PAIR  CBBR910116
CT100,CO AXIAL CABLE CT100  441020E-BLK-100
CT100TWIN,CO AXIAL CABLE CT TWI  442010  442010E-BLK-250M
RG58,CO-AXIAL CABLE RG58 50 OHM
RF100,DETA 530B BROWN CO-AXIAL CABLE
RG213U,COAX CABLE RG213U
D13-10F-EXL,10 WAY POWER BANK  FOR COMMS CABINET
RG6TWIN250LSF,CO AXIAL CABLE LSF RG6 TWIN 250MTR  DRUM
6ACLSF,ALARM CABLE LSF 6 CORE WHITE  631whb
8ACLSF,ALARM CABLE LSF 8 CORE WHITE
301505,TERMINAL JUMPER BAR ISSBI 10-6  PHOENIX CONTACT BAG 10
3003020,TERMINAL COVER D-UK4/10  PHOENIX CONTACT
3004362,TERMINAL 4mm UK5N PHOENIX CONT  ACT
3004524,TERMINAT UK6N 6mm PHOENIX CONT  ACT
